instance,family,node_count,salesman_count,solver,seed,objective,time_seconds,valid
mixed_outliers_n100_m3_pilot.txt,mixed_outliers,100,3,lkh-wrapper-v2,16,757.9907303010358,0.011806,True
mixed_outliers_n100_m3_pilot.txt,mixed_outliers,100,3,lkh-wrapper-v2,17,755.6986248691647,0.009802,True
mixed_outliers_n100_m3_pilot.txt,mixed_outliers,100,3,lkh-wrapper-v2,18,756.4852318066022,0.011466,True
mixed_outliers_n100_m3_pilot.txt,mixed_outliers,100,3,lkh-wrapper-v2,19,756.4852318066022,0.01078,True
mixed_outliers_n100_m3_pilot.txt,mixed_outliers,100,3,lkh-wrapper-v2,20,756.4852318066022,0.009717,True
uniform_n200_m5_pilot.txt,uniform,200,5,rand+nn,1,3176.971117381627,0.001132,True
uniform_n200_m5_pilot.txt,uniform,200,5,rand+nn,2,3163.094363654397,0.000939,True
uniform_n200_m5_pilot.txt,uniform,200,5,rand+nn,3,3129.545676767815,0.001223,True
uniform_n200_m5_pilot.txt,uniform,200,5,rand+nn,4,3024.485500794261,0.000989,True
uniform_n200_m5_pilot.txt,uniform,200,5,rand+nn,5,3167.5448672260277,0.000921,True
uniform_n200_m5_pilot.txt,uniform,200,5,rand+nn,6,2974.591184023513,0.000923,True
uniform_n200_m5_pilot.txt,uniform,200,5,rand+nn,7,3021.9913581350356,0.001033,True
uniform_n200_m5_pilot.txt,uniform,200,5,rand+nn,8,2929.9980644514617,0.000938,True
uniform_n200_m5_pilot.txt,uniform,200,5,rand+nn,9,2996.0777925566645,0.001215,True
